"","ResponseID","Finished","MTurkCode","Q_TotalDuration","Age","NativeLang","BeganEnglish","SpeechProb","NP","Rating","ArbCont","Coll","Meas","Quant","FullCont","Type","ItemNr","OneThing","MoreThings"
"1","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.vase.of.cattails","a. One thing",0,0,0,0,1,"FullCont",1,1,0
"2","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.variety.of.mugs","b. More than one thing",0,0,1,0,0,"Meas",2,0,1
"3","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.pack.of.matches","a. One thing",0,0,0,0,1,"FullCont",3,1,0
"4","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","all.pies","a. One thing",0,0,0,1,0,"Quant",4,1,0
"5","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","many.clocks","a. One thing",0,0,0,1,0,"Quant",5,1,0
"7","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.heap.of.blankets","a. One thing",0,1,0,0,0,"Coll",7,1,0
"8","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.smattering.of.magazines","a. One thing",0,0,1,0,0,"Meas",8,1,0
"9","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","some.paintings","b. More than one thing",0,0,0,1,0,"Quant",9,0,1
"10","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.matchbox.of.needles","a. One thing",0,0,0,0,1,"FullCont",10,1,0
"11","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.bunch.of.folders","a. One thing",0,0,1,0,0,"Meas",11,1,0
"12","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.bottle.of.pills","a. One thing",0,0,0,0,1,"FullCont",12,1,0
"13","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.stack.of.sandwiches","a. One thing",0,1,0,0,0,"Coll",13,1,0
"14","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","fewer.people","b. More than one thing",0,0,0,1,0,"Quant",14,0,1
"16","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.crowd.of.onlookers","b. More than one thing",0,1,0,0,0,"Coll",16,0,1
"20","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.collection.of.coins","b. More than one thing",0,1,0,0,0,"Coll",20,0,1
"21","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.ton.of.ties","b. More than one thing",0,0,0,0,1,"Meas",21,0,1
"22","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","several.pamphlets","a. One thing",0,0,0,1,0,"Quant",22,1,0
"23","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","five.baseballs","a. One thing",0,0,0,1,0,"Quant",23,1,0
"24","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.pile.of.pucks","a. One thing",0,1,0,0,0,"Coll",24,1,0
"25","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.crate.of.tangerines","a. One thing",0,0,0,0,1,"FullCont",25,1,0
"26","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.couple.of.notepads","a. One thing",0,0,1,0,0,"Meas",26,1,0
"27","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.set.of.dvds","b. More than one thing",0,1,0,0,0,"Coll",27,0,1
"28","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.handful.of.cookbooks","b. More than one thing",0,0,1,0,0,"Meas",28,0,1
"30","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","more.chips","a. One thing",0,0,0,1,0,"Quant",30,1,0
"31","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.bin.of.baseballs","a. One thing",0,0,0,1,0,"FullCont",31,1,0
"32","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.sack.of.potatoes","a. One thing",0,0,0,0,1,"FullCont",32,1,0
"33","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.troop.of.preschoolers","b. More than one thing",0,1,0,0,0,"Coll",33,0,1
"34","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.tube.of.balls","a. One thing",0,0,0,1,0,"FullCont",34,1,0
"35","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.lot.of.postcards","a. One thing",0,0,1,0,0,"Meas",35,1,0
"36","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.number.of.bags","a. One thing",0,0,1,0,0,"Meas",36,1,0
"37","R_1dAYjciX0xGoI2l",1,106466,1154,33,"English","","No","a.group.of.llamas","a. One thing",0,1,0,0,0,"Coll",37,1,0
