ExperimentName	Subject	Session	Block	AffichageMot2.ACC	ContextSent	CorrResp	ExpectedV	FillerType	HasPronoun	IsAnimate	Item	ItemType	LeftWord	Length	List	N1	N1Type	NumPositions	RightWord	Running	Sentence	Slide1.ACC	Slide1.CRESP	Slide1.RESP	Slide1.RT	SubList	Tense	VerbPosition	Word
XP2List1	101	1	1	0	How much natural light does your new office have?		?	?	?	?	training3	?	is	?	?	?	training	4	are	Entrainement	My $ ficus tree $ thriving $ there.	0		1	1146	?	?	2	 there.
XP2List1	101	1	2	0	Where can I find the keys to the cabinets?		?	?	?	?	training1	?	is	?	?	?	training	5	are	Entrainement	The key $ to $ the cabinets $ in $ the drawer.	0		1	543	?	?	3	 the drawer.
XP2List1	101	1	3	0	Why couldn't you park your car inside last night?		?	?	?	?	training4	?	was	?	?	?	training	4	were	Entrainement	Some $ wooden table $ in $ the garage.	0		3	1762	?	?	2	 the garage.
XP2List1	101	1	4	0	What did you like best about living in New England?		?	?	?	?	training2	?	was	?	?	?	training	4	were	Entrainement	The leaves $ in the $ fall $ beautiful.	0		3	672	?	?	3	 beautiful.
XP2List1	101	1	5	0	Where are the vicious rodents now?	3	Vpl	RC	0	0	36	filler	is	filler	0	filler	filler	6	are	Part1	Two $ squirrels $ that attacked $ a chipmunk $ in $ the oak.	1	3	3	548	a	present	4	 the oak.
XP2List1	101	1	6	0	Was it the dry leaves that Roberto was raking?	3	Vpl	RC	0	0	37	filler	was	filler	0	filler	filler	6	were	Part1	The grass $ clippings $ what $ Roberto $ was raking $ yesterday.	1	3	3	675	a	past	2	 yesterday.
XP2List1	101	1	7	0	How will your wife spend the evening while you're away?	1	Vsg	MA	0	0	69	filler	is	filler	0	filler	filler	4	are	Part1	Martina $ going $ to a $ jazz concert.	1	1	1	732	a	present	1	 jazz concert.
XP2List1	101	1	8	0	Does Rachel have anything, like notepads, to write a message on?	3	Vpl	test	0	0	19	test	is	short	1	couple	measure	3	are	Part1	A couple $ by $ the telephone.	1	3	3	1057	a	present	1	 the telephone.
XP2List1	101	1	9	0	Do you have anything to help with my fever, like pills?	3	Vsg	test	1	0	3	test	is	short	1	bottle	containers	3	are	Part1	A bottle $ by $ the tissues.	0	3	1	907	a	present	1	 the tissues.
XP2List1	101	1	10	0	Was the winter accessory you borrowed comfortable?	1	Vsg	RC	0	0	49	filler	was	filler	0	filler	filler	5	were	Part1	The scarf $ that $ Laura knitted $ warm $ but itchy.	1	1	1	750	a	past	3	 but itchy.
XP2List1	101	1	11	0	Do we know why we couldn't go back to library?	1	Vsg	RC	0	0	45	filler	was	filler	0	filler	filler	4	were	Part1	One DVD $ that $ Kayleigh borrowed $ past due.	1	1	1	838	a	past	3	 past due.
XP2List1	101	1	12	0	What was the state of preparations when you left?	3	Vpl	MA	0	0	84	filler	was	filler	0	filler	filler	6	were	Part1	The masons $ Steve $ and Melinda $ stacking bricks $ at the $ construction site.	1	3	3	711	a	past	3	 construction site.
XP2List1	101	1	13	0	Does Lisa have any information to give renters about the apartment complex?	1	Vpl	test	0	0	29	test	is	long	1	several	quant	3	are	Part1	Several pamphlets $ in the $ front office.	0	1	3	923	a	present	1	 front office.
XP2List1	101	1	14	0	How did Michaela and Frank not see the racoon in their backyard?	3	Vpl	MA	0	0	72	filler	is	filler	0	filler	filler	6	are	Part1	They $ watching $ a small $ squirrel $ in $ a tree.	1	3	3	680	a	present	1	 a tree.
XP2List1	101	1	15	0	Do you have a reason for switching to the new typesetting program?	1	Vsg	Simple	0	0	61	filler	was	filler	0	filler	filler	4	were	Part1	This $ word processor $ known to $ crash often.	1	1	1	585	a	past	2	 crash often.
XP2List1	101	1	16	0	Do they have any food, some sandwiches maybe, for the guests to eat?	3	Vsg	test	1	0	11	test	is	short	1	stack	collections	3	are	Part1	A stack $ on the $ serving platter.	0	3	1	534	a	present	1	 serving platter.
XP2List1	101	1	17	0	Who was your favorite customer today at the toystore?	1	Vsg	MA	0	0	77	filler	was	filler	0	filler	filler	7	were	Part1	The new $ grandpa Olaf $ looking for $ a cute $ teddy bear $ for his $ granddaughter.	1	1	1	789	a	past	2	 granddaughter.
XP2List1	101	1	18	0	What made everyone on Sesame Street so sad?	1	Vsg	Simple	0	0	89	filler	was	filler	0	filler	filler	7	were	Part1	Neither $ Bert nor $ Ernie $ able $ to find $ the rubber $ ducky.	1	1	1	787	a	past	3	 ducky.
XP2List1	101	1	19	0	Do they have anything to serve the coffee in, like mugs?	3	Vpl	test	1	0	23	test	is	short	1	variety	measure	3	are	Part1	A variety $ in $ the dishwasher.	1	3	3	1170	a	present	1	 the dishwasher.
XP2List1	101	1	20	0	Why can't we finish the installation today?	1	Vsg	Simple	0	0	93	filler	is	filler	0	filler	filler	3	are	Part1	This cable $ two meters $ too short.	1	1	1	705	a	present	1	 too short.
