"","subject","ordinal.item.number","type","question","answer","rt","sentence","item.id","Test","N1","Category"
"1","1478885728",3,"Acclimatization-9","NULL",1,3984,"Many people is in the kitchen.",-9,"Acclimatization",NA,NA
"2","1478885728",4,"Acclimatization-8","NULL",5,5958,"We selected a variety of fruits and we bought them.",-8,"Acclimatization",NA,NA
"3","1478885728",5,"Acclimatization-7","NULL",2,3001,"We saw a flower and we noticed it.",-7,"Acclimatization",NA,NA
"4","1478885728",6,"Acclimatization-6","NULL",1,4098,"They found a box filled of toys in the closet.",-6,"Acclimatization",NA,NA
"5","1478885728",7,"Acclimatization-5","NULL",4,2827,"She met a wide troop of boyscouts at the airport.",-5,"Acclimatization",NA,NA
"6","1478885728",8,"Acclimatization-4","NULL",3,4042,"The mound of clothes cracked.",-4,"Acclimatization",NA,NA
"7","1478885728",9,"Acclimatization-3","NULL",3,4961,"I brought a crate stuffed with decisions to the party.",-3,"Acclimatization",NA,NA
"8","1478885728",10,"Acclimatization-2","NULL",1,5546,"A tub full with lobsters is on the patio.",-2,"Acclimatization",NA,NA
"9","1478885728",11,"Acclimatization-1","NULL",2,3855,"We added so many marbles that the bucket of marbles overflowed.",-1,"Acclimatization",NA,NA
"10","1478885728",50,"ItemPronominalagreementplural39","NULL",5,3403,"We found more chips and we brought them.",39,"Pronominal agreement plural","none","Quantifiers"
"11","1478885728",17,"ItemPronominalagreementsingular6","NULL",3,3078,"We found a pot of flowers and we admired it.",6,"Pronominal agreement singular","pot","Full Containment"
"12","1478885728",134,"Filler133","NULL",2,6279,"They would not exist the new law after the referendum",133,"Filler","Filler",NA
"13","1478885728",54,"ItemConfigurationParticiples43","NULL",7,4085,"We walked by a case decorated with silk handkerchiefs.",43,"Configuration Participles","case","Arbitrary Containments"
"14","1478885728",41,"ItemPronominalagreementplural30","NULL",5,3403,"We found a heap of blankets and we washed them.",30,"Pronominal agreement plural","pile","Collections"
"15","1478885728",107,"Filler106","NULL",1,3030,"They received a package from.",106,"Filler","Filler",NA
"16","1478885728",24,"ItemPronominalagreementsingular13","NULL",2,3089,"We found a bunch of newspapers and we took it.",13,"Pronominal agreement singular","lot","Measure Phrases"
"17","1478885728",130,"Filler129","NULL",1,3925,"As a surprise%2C he appeared a bouquet of flowers.",129,"Filler","Filler",NA
"18","1478885728",91,"ItemShapeModifier80","NULL",2,2273,"She found a wide ton of llamas in the valley.",80,"Shape Modifier","handful","Measure Phrases"
"19","1478885728",57,"ItemConfigurationParticiples46","NULL",3,4126,"I noticed a pot adorned of flowers in the store. ",46,"Configuration Participles","pot","Full Containment"
"20","1478885728",68,"ItemBreakableness57","NULL",3,2952,"A dish of strawberries broke.",57,"Breakableness","dish","Full Containment"
"21","1478885728",51,"ItemPronominalagreementplural40","NULL",4,2291,"We found some paintings and we purchased them.",40,"Pronominal agreement plural","none","Quantifiers"
"22","1478885728",82,"ItemOverflowing71","NULL",4,6065,"We added so many sandwiches that the stack of sandwiches overflowed.",71,"Overflowing","stack","Collections"
"23","1478885728",99,"ItemAbstractNoun88","NULL",5,3167,"She made a ton of suggestions. ",88,"Abstract Noun","handful","Measure Phrase"
"24","1478885728",111,"Filler110","NULL",2,2437,"He played a slowly song.",110,"Filler","Filler",NA
"25","1478885728",49,"ItemPronominalagreementplural38","NULL",5,3523,"We found many clocks and we photographed them.",38,"Pronominal agreement plural","none","Quantifiers"
"26","1478885728",126,"Filler125","NULL",1,3544,"After jumping over the log%2C he fell a mossy rock.",125,"Filler","Filler",NA
"27","1478885728",42,"ItemPronominalagreementplural31","NULL",3,2567,"We found a stack of sandwiches and we brought them.",31,"Pronominal agreement plural","stack","Collections"
"28","1478885728",124,"Filler123","NULL",4,2186,"She chose to buy among a new toaster.",123,"Filler","Filler",NA
"29","1478885728",55,"ItemConfigurationParticiples44","NULL",7,4016,"A child held a bucket filled with sponges on the beach.",44,"Configuration Participles","pail","Arbitrary Containments"
"30","1478885728",27,"ItemPronominalagreementsingular16","NULL",1,3280,"We found a ton of cookbooks and we read it.",16,"Pronominal agreement singular","handful","Measure Phrases"
"31","1478885728",112,"Filler111","NULL",2,2013,"We insisted a toast.",111,"Filler","Filler",NA
"32","1478885728",36,"ItemPronominalagreementplural25","NULL",4,2223,"We found a dish of strawberries and we took them.",25,"Pronominal agreement plural","dish","Full Containment"
"33","1478885728",20,"ItemPronominalagreementsingular9","NULL",1,2859,"We found a pile of shirts and we sorted it.",9,"Pronominal agreement singular","heap","Collections"
"34","1478885728",123,"Filler122","NULL",1,2334,"He resolved to give smoking.",122,"Filler","Filler",NA
"35","1478885728",86,"ItemShapeModifier75","NULL",7,2819,"She placed a short stack of sandwiches on the table.",75,"Shape Modifier","stack","Collections"
"36","1478885728",64,"ItemConfigurationAdjectives53","NULL",7,1520,"She offered a dish full of strawberries to her friend. ",53,"Configuration Adjectives","dish","Full Containment"
"37","1478885728",75,"ItemBreakableness64","NULL",4,1741,"A group of llamas broke.",64,"Breakableness","group","Collections"
"38","1478885728",40,"ItemPronominalagreementplural29","NULL",5,4589,"We found a pile of shirts and we took them.",29,"Pronominal agreement plural","heap","Collections"
"39","1478885728",80,"ItemOverflowing69","NULL",6,5483,"We added so many shirts that the pile of shirts overflowed.",69,"Overflowing","pile","Collections"
"40","1478885728",94,"ItemAbstractNoun83","NULL",4,2044,"She offered a stack of ideas.",83,"Abstract Noun","stack","Collection"
"41","1478885728",102,"Filler101","NULL",1,2536,"He gave through on us.",101,"Filler","Filler",NA
"42","1478885728",15,"ItemPronominalagreementsingular4","NULL",5,3946,"We found a bucket with sponges and we grabbed it.",4,"Pronominal agreement singular","pail","Arbitary Containment"
"43","1478885728",109,"Filler108","NULL",5,2738,"They rented bicycles nearly the sea.",108,"Filler","Filler",NA
"44","1478885728",52,"ItemConfigurationParticiples41","NULL",7,2102,"She offered a dish sprinkled with strawberries to her friend.",41,"Configuration Participles","dish","Arbitrary Containments"
"45","1478885728",25,"ItemPronominalagreementsingular14","NULL",4,2061,"We found a lot of bags and we stored it.",14,"Pronominal agreement singular","number","Measure Phrases"
"46","1478885728",131,"Filler130","NULL",7,2176,"We finally felt that we belonged the community.",130,"Filler","Filler",NA
"47","1478885728",35,"ItemPronominalagreementplural24","NULL",5,2295,"We found a bucket with sponges and we grabbed them.",24,"Pronominal agreement plural","pail","Arbitary Containment"
"48","1478885728",113,"Filler112","NULL",3,1950,"He looked an article.",112,"Filler","Filler",NA
"49","1478885728",85,"ItemShapeModifier74","NULL",6,2325,"She made a circular heap of blankets on the floor.",74,"Shape Modifier","heap","Collections"
"50","1478885728",61,"ItemConfigurationAdjectives50","NULL",5,1852,"I noticed a pot full with flowers in the store. ",50,"Configuration Adjectives","pot","Arbitrary Containments"
"51","1478885728",70,"ItemBreakableness59","NULL",5,2999,"A case of silk handkerchiefs broke.",59,"Breakableness","case","Full Containment"
"52","1478885728",48,"ItemPronominalagreementplural37","NULL",4,4730,"We found several pies and we brought them.",37,"Pronominal agreement plural","none","Quantifiers"
"53","1478885728",83,"ItemOverflowing72","NULL",2,2103,"We added so many llamas that the group of llamas overflowed.",72,"Overflowing","group","Collections"
"54","1478885728",95,"ItemAbstractNoun84","NULL",2,2143,"She made a group of suggestions.",84,"Abstract Noun","group","Collection"
"55","1478885728",122,"Filler121","NULL",7,2708,"We decided to see to a movie.",121,"Filler","Filler",NA
"56","1478885728",39,"ItemPronominalagreementplural28","NULL",5,2295,"We found a bucket of sponges and we grabbed them.",28,"Pronominal agreement plural","pail","Full Containment"
"57","1478885728",128,"Filler127","NULL",2,2728,"At the beginning of her speech%2C she laughed a joke.",127,"Filler","Filler",NA
"58","1478885728",29,"ItemPronominalagreementsingular18","NULL",1,2164,"We found many clocks and we watched it.",18,"Pronominal agreement singular","none","Quantifiers"
"59","1478885728",53,"ItemConfigurationParticiples42","NULL",7,3597,"I noticed a pot adorned with flowers in the store.",42,"Configuration Participles","pot","Arbitrary Containments"
"60","1478885728",33,"ItemPronominalagreementplural22","NULL",6,3916,"We found a pot with flowers and we photographed them.",22,"Pronominal agreement plural","pot","Arbitary Containment"
"61","1478885728",104,"Filler103","NULL",2,2747,"We wrote a check under.",103,"Filler","Filler",NA
"62","1478885728",44,"ItemPronominalagreementplural33","NULL",4,2041,"We found a bunch of newspapers and we took them.",33,"Pronominal agreement plural","lot","Measure Phrases"
"63","1478885728",105,"Filler104","NULL",1,2717,"She built a house for.",104,"Filler","Filler",NA
"64","1478885728",90,"ItemShapeModifier79","NULL",2,4125,"She placed a short handful of sandwiches on the table.",79,"Shape Modifier","couple","Measure Phrases"
